Instância;P1(ALGORITMO);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(VER_ACOES);P7(LIMITE);P8(ESTADOS_REPETIDOS);P9(PESO_ASTAR);P10(RUIDO_HEURISTICA);P11(BARALHAR_SUCESSORES);I2(Tempo(ms));Solução
10;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;0;cima dir baixo baixo 
110;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;6;baixo baixo dir dir cima cima esq esq baixo dir dir cima esq baixo dir baixo 
210;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;21;cima esq baixo dir cima cima esq baixo baixo dir cima cima esq esq baixo dir baixo dir 
310;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;83;baixo esq cima dir baixo dir cima esq baixo esq cima cima dir dir baixo baixo esq cima dir baixo 
410;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;60;cima dir baixo esq cima dir dir baixo esq esq cima cima dir baixo dir cima esq baixo baixo dir 
510;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;742;baixo esq cima cima dir dir baixo esq baixo esq cima cima dir dir baixo esq baixo esq cima cima dir dir baixo baixo 
610;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;17;cima dir baixo dir cima esq cima dir baixo esq esq cima dir baixo esq baixo dir dir 
710;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;182;cima cima dir dir baixo esq cima esq baixo baixo dir dir cima cima esq baixo esq cima dir dir baixo baixo 
810;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;6;cima dir cima dir baixo esq esq cima dir baixo baixo esq cima dir baixo dir 
910;1:Largura Primeiro;0:NADA;1;10;0;4;0;2:ascendentes;;;0;1483;cima cima esq baixo dir baixo esq cima esq baixo dir cima esq cima dir baixo dir cima esq baixo esq cima dir baixo dir baixo 
